Manuell,Class
1,0
1,0
1,0
1,0
1,0
1,0.004
1,0
1,0
1,0
1,0
1,0.9
1,0
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.225
1,0.29
1,0.041
1,0.02
1,0.0745
1,0.156
1,0.1012
1,0.0202
1,0.0153
1,0.115
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
